thorax_q1,thorax_q2,thorax_q3,thorax_q4,thorax_ax,thorax_ay,thorax_az,thorax_gx,thorax_gy,thorax_gz,thorax_mx,thorax_my,thorax_mz,thorax_barometer,thorax_linAcc_x,thorax_linAcc_y,thorax_linAcc_z,thorax_altitude,humerus_q1,humerus_q2,humerus_q3,humerus_q4,humerus_ax,humerus_ay,humerus_az,humerus_gx,humerus_gy,humerus_gz,humerus_mx,humerus_my,humerus_mz,humerus_barometer,humerus_linAcc_x,humerus_linAcc_y,humerus_linAcc_z,humerus_altitude,radius_q1,radius_q2,radius_q3,radius_q4,radius_ax,radius_ay,radius_az,radius_gx,radius_gy,radius_gz,radius_mx,radius_my,radius_mz,radius_barometer,radius_linAcc_x,radius_linAcc_y,radius_linAcc_z,radius_altitude,
0.4958032,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5048044,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5118046,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5218022,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5318053,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5418033,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5518037,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5618038,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5718037,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.5818055,+0.0023552,-0.0475447,+0.9342170,-0.3535147,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0277435,-0.0467063,+0.6729105,-0.7377266,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.0469847,-0.0463224,+0.1377058,-0.9882732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
